,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
179,90,10,5,3,2,2,20,20,1,0.7478377819061279,0.00024628639221191406,0.0001888275146484375
180,91,10,5,4,2,2,19,17,1,0.5872783660888672,0.0003364086151123047,0.0001742839813232422
181,91,10,5,3,2,2,20,20,1,0.6444523334503174,0.0004000663757324219,0.0003209114074707031
182,92,10,5,4,2,2,19,17,1,0.8847384452819824,0.0002961158752441406,0.00014781951904296875
183,92,10,5,3,2,2,20,20,1,1.2011768817901611,0.00040912628173828125,0.000308990478515625
184,93,10,5,4,2,2,29,52,1024,0.8843193054199219,0.00043845176696777344,0.042781829833984375
185,93,10,5,3,2,2,30,60,1024,0.9048557281494141,0.00048828125,0.1381235122680664
186,94,10,5,4,2,2,38,68,1024,0.9539275169372559,0.0004353523254394531,0.0496370792388916
187,94,10,5,3,2,2,40,80,1024,1.0362091064453125,0.0005011558532714844,0.2563633918762207
188,95,10,5,4,2,2,29,26,2,0.9890007972717285,0.0003399848937988281,0.0003921985626220703
189,95,10,5,3,2,2,30,30,1,2.4458072185516357,0.0002696514129638672,0.0003464221954345703
190,96,10,5,4,2,2,38,68,1024,0.9010202884674072,0.0003542900085449219,0.03846263885498047
191,96,10,5,3,2,2,40,80,1024,1.0111384391784668,0.00039386749267578125,0.17893218994140625
192,97,10,5,4,2,2,38,68,1024,1.020158290863037,0.00027561187744140625,0.0317378044128418
193,97,10,5,3,2,2,40,80,1024,1.1467931270599365,0.0004658699035644531,0.18100857734680176
194,98,10,5,4,2,2,29,26,2,0.8582768440246582,0.00042057037353515625,0.0003669261932373047
195,98,10,5,3,2,2,30,30,1,0.8177733421325684,0.00040531158447265625,0.0004856586456298828
196,99,10,5,4,2,2,49,44,4,2.602280855178833,0.00033354759216308594,0.0007190704345703125
197,99,10,5,3,2,2,50,50,1,1.1124532222747803,0.00033211708068847656,0.0009882450103759766
